HHNR;Wegnummer;Distanz_km;Emissionen;Verkehrsmittel
112841;2;2.0;0.0;Zu Fuss
112849;1;27.558;5732.302602923622;Auto
112849;3;18.237;3793.453899757533;Auto
112851;1;5.61;0.0;Zu Fuss
112853;1;6.89;38.446416359779995;Velo
112855;4;0.274;0.0;Zu Fuss
112855;5;1.013;0.0;Zu Fuss
112855;6;1.6149999999999998;0.0;Zu Fuss, Zu Fuss
112866;3;11.892;2956.9779822849955;Auto
112867;5;1.747;0.0;Zu Fuss
112871;1;5.0;730.0168636560607;Anderes
112873;3;0.392;0.0;Zu Fuss
112883;1;6.598;0.0;Zu Fuss
112885;1;1.0;0.0;Zu Fuss
112886;3;30.819;7663.227752778445;Auto
112886;4;0.3;0.0;Zu Fuss
112887;5;1.0;0.0;Zu Fuss
112889;1;130.825;31470.04796977252;Auto
112922;5;0.6;0.0;Zu Fuss
112924;1;0.409;0.0;Zu Fuss
112925;1;4.828;0.0;Zu Fuss
112931;5;9.891;1962.1185047267827;Auto, Zu Fuss
112934;1;0.206;0.0;Zu Fuss
112937;1;91.482;16460.713918210164;Auto
112962;1;1.5;0.0;Zu Fuss
112965;1;2.0;0.0;Zu Fuss
112972;1;29.707;3381.0924038586113;Auto
112975;3;0.6;0.0;Zu Fuss
112978;1;49.199;11670.627487230446;Auto
112981;3;0.687;0.0;Zu Fuss
112988;1;1.413;16.003433076849;E-Bike_25
112988;3;1.572;17.804244017555998;E-Bike_25
112991;1;0.7;0.0;Zu Fuss
112992;4;13.611;2831.205846882699;Auto
112996;1;12.5;3108.1588276624993;Auto
113007;1;2.89;0.0;Zu Fuss
113024;1;0.3;0.0;Zu Fuss
113024;4;1.0;0.0;Zu Fuss
113024;5;0.1;0.0;Zu Fuss
113032;5;1.5;0.0;Zu Fuss
113033;3;0.467;0.0;Zu Fuss
113077;4;2.591;551.733296235557;Auto
113081;1;5.276;241.27907776183596;Fahrzeugähnliche Geräte
113091;1;1.67;9.31865244134;Velo
113104;6;1.774;9.898975707147999;Velo
113107;5;2.5;0.0;Zu Fuss
113111;1;2.8;0.0;Zu Fuss
113116;1;2.0;0.0;Zu Fuss
113116;2;2.5;13.950078504999999;Velo
113123;3;2.023;382.193192218327;Auto
113123;6;2.83;534.65483637067;Auto
113126;1;1.0;0.0;Zu Fuss
113126;4;0.6;0.0;Zu Fuss
113129;2;0.977;149.49697653709597;Auto
113129;6;1.804;276.041500176992;Auto
113131;1;1.0;0.0;Zu Fuss
113131;2;1.0;0.0;Zu Fuss
113131;4;1.5;0.0;Zu Fuss
113131;5;0.2;0.0;Zu Fuss
113143;1;8.424;0.0;Zu Fuss
113146;1;2.058;0.0;Zu Fuss
113164;1;12.598;0.0;Zu Fuss
113175;1;2.124;382.179623994648;Auto
113186;1;8.93;2220.4686664820897;Auto
113186;3;2.3;0.0;Zu Fuss
113196;6;0.717;0.0;Zu Fuss
113206;1;2.954;0.0;Zu Fuss
113215;5;2.5;0.0;Zu Fuss
113224;1;0.257;0.0;Zu Fuss
113231;3;2.5;0.0;Zu Fuss
113237;1;37.628;7826.949791088252;Auto
113252;1;26.41;4790.13314045969;Auto
113255;4;1.22;0.0;Zu Fuss
113255;6;3.841;396.15595716183196;Auto, Zu Fuss
113255;8;1.27;273.28520673304;Auto
113263;1;0.2;0.0;Zu Fuss
113273;5;2.0;0.0;Zu Fuss
113285;1;1.189;0.0;Zu Fuss
113285;5;1.298;0.0;Zu Fuss
113286;1;2.342;0.0;Zu Fuss
113307;1;0.629;0.0;Zu Fuss
113308;5;1.0;0.0;Zu Fuss
113324;1;5.146;0.0;Zu Fuss
113326;1;2.0;0.0;Zu Fuss
113326;2;2.0;0.0;Zu Fuss
113342;1;1.0;0.0;Zu Fuss
113345;1;0.573;0.0;Zu Fuss
113357;1;2.0;0.0;Zu Fuss
113363;1;2.748;0.0;Zu Fuss
113363;2;1.0;0.0;Zu Fuss
113375;1;1.0;0.0;Zu Fuss
113375;2;1.0;0.0;Zu Fuss
113375;3;1.0;0.0;Zu Fuss
